Month,DayOfWeek,DepTime,UniqueCarrier,Origin,Dest,Distance,DepTimeM,DepTimeCategorical,UniqueCarrier_OriginDest,UniqueCarrier_Origin,target
c-6,c-3,1285,WN,PHX,PDX,1009,25,21,WN_PHX_PDX,WN_PHX,1
c-4,c-1,1256,DL,ATL,MSY,425,56,20,DL_ATL_MSY,DL_ATL,0
c-4,c-7,911,MQ,LGA,DTW,501,11,15,MQ_LGA_DTW,MQ_LGA,0
c-6,c-4,1086,OO,LAX,SAT,1210,6,18,OO_LAX_SAT,OO_LAX,0
c-11,c-1,974,XE,EWR,XNA,1130,14,16,XE_EWR_XNA,XE_EWR,1
c-3,c-6,669,NW,RSW,FNT,1138,9,11,NW_RSW_FNT,NW_RSW,0
c-7,c-2,1354,DL,ATL,TYS,152,34,22,DL_ATL_TYS,DL_ATL,1
c-1,c-5,1159,UA,SFO,PHX,651,19,19,UA_SFO_PHX,UA_SFO,0
c-12,c-7,569,AA,ORD,LAS,1515,29,9,AA_ORD_LAS,AA_ORD,1
c-1,c-4,720,CO,IAH,DEN,861,0,12,CO_IAH_DEN,CO_IAH,0
c-3,c-5,690,MQ,ORD,TYS,475,30,11,MQ_ORD_TYS,MQ_ORD,1
c-1,c-1,453,OO,SMF,SLC,532,33,7,OO_SMF_SLC,OO_SMF,0
c-11,c-6,603,OO,ORD,SGF,438,3,10,OO_ORD_SGF,OO_ORD,0
c-6,c-5,705,AA,STL,LAS,1372,45,11,AA_STL_LAS,AA_STL,0
c-8,c-5,699,AA,DFW,COS,592,39,11,AA_DFW_COS,AA_DFW,0
c-3,c-2,1105,WN,MSY,TPA,487,25,18,WN_MSY_TPA,WN_MSY,0
c-10,c-7,944,WN,BWI,MHT,377,44,15,WN_BWI_MHT,WN_BWI,0
c-11,c-4,1251,XE,IAH,MEM,469,51,20,XE_IAH_MEM,XE_IAH,0
c-8,c-3,1103,CO,EWR,MCO,938,23,18,CO_EWR_MCO,CO_EWR,0
c-12,c-3,672,YV,IAD,EWR,213,12,11,YV_IAD_EWR,YV_IAD,0
c-4,c-7,526,XE,BNA,IAH,657,46,8,XE_BNA_IAH,XE_BNA,0
c-7,c-5,1212,AA,DFW,IAH,224,12,20,AA_DFW_IAH,AA_DFW,1
c-9,c-7,620,MQ,ORD,BMI,116,20,10,MQ_ORD_BMI,MQ_ORD,0
c-8,c-1,538,DL,ATL,IAD,533,58,8,DL_ATL_IAD,DL_ATL,0
c-5,c-6,400,XE,BWI,CLE,314,40,6,XE_BWI_CLE,XE_BWI,0
c-8,c-6,608,AA,SAT,DFW,247,8,10,AA_SAT_DFW,AA_SAT,1
c-1,c-1,638,CO,EWR,TPA,998,38,10,CO_EWR_TPA,CO_EWR,1
c-6,c-1,360,OO,VCT,IAH,123,0,6,OO_VCT_IAH,OO_VCT,0
c-10,c-5,360,WN,PHX,ONT,325,0,6,WN_PHX_ONT,WN_PHX,0
c-10,c-7,1258,NW,DTW,ALB,488,58,20,NW_DTW_ALB,NW_DTW,0
c-7,c-7,1013,WN,HOU,TUL,453,53,16,WN_HOU_TUL,WN_HOU,0
c-1,c-1,1263,MQ,DFW,SGF,364,3,21,MQ_DFW_SGF,MQ_DFW,0
c-8,c-2,522,CO,EWR,ORD,719,42,8,CO_EWR_ORD,CO_EWR,0
c-9,c-5,1210,MQ,DFW,PIA,673,10,20,MQ_DFW_PIA,MQ_DFW,0
c-8,c-3,377,XE,DAY,IAH,929,17,6,XE_DAY_IAH,XE_DAY,0
c-4,c-3,385,MQ,CHA,ORD,501,25,6,MQ_CHA_ORD,MQ_CHA,0
c-6,c-7,776,DL,BOS,CVG,752,56,12,DL_BOS_CVG,DL_BOS,0
c-11,c-7,1311,HP,PHX,DEN,602,51,21,HP_PHX_DEN,HP_PHX,0
c-6,c-2,960,CO,EWR,PBI,1024,0,16,CO_EWR_PBI,CO_EWR,0
c-2,c-4,1024,US,TPA,CLT,508,4,17,US_TPA_CLT,US_TPA,0
c-5,c-7,604,OO,TYS,ORD,475,4,10,OO_TYS_ORD,OO_TYS,0
c-12,c-2,1198,EV,CVG,CAE,404,58,19,EV_CVG_CAE,EV_CVG,0
c-11,c-7,1027,UA,BDL,ORD,783,7,17,UA_BDL_ORD,UA_BDL,0
c-5,c-4,680,WN,BWI,RDU,255,20,11,WN_BWI_RDU,WN_BWI,1
c-7,c-4,525,WN,CMH,BWI,336,45,8,WN_CMH_BWI,WN_CMH,0
c-8,c-1,624,DL,LGA,MCO,950,24,10,DL_LGA_MCO,DL_LGA,0
c-6,c-7,794,NW,MSP,JFK,1028,14,13,NW_MSP_JFK,NW_MSP,0
c-9,c-3,433,AA,ORD,PHX,1440,13,7,AA_ORD_PHX,AA_ORD,0
c-11,c-1,633,XE,IAH,CVG,871,33,10,XE_IAH_CVG,XE_IAH,0
c-7,c-7,1347,NW,MSP,BIS,386,27,22,NW_MSP_BIS,NW_MSP,0
c-9,c-3,761,WN,DEN,PHX,602,41,12,WN_DEN_PHX,WN_DEN,0
c-2,c-3,1185,WN,STL,CLE,487,45,19,WN_STL_CLE,WN_STL,1
c-12,c-4,984,OO,SNA,LAX,36,24,16,OO_SNA_LAX,OO_SNA,0
c-9,c-4,501,DL,LGA,PBI,1035,21,8,DL_LGA_PBI,DL_LGA,0
c-8,c-7,638,AA,ORD,LAX,1745,38,10,AA_ORD_LAX,AA_ORD,0
c-5,c-7,780,WN,LAX,BNA,1797,0,13,WN_LAX_BNA,WN_LAX,0
c-1,c-1,520,WN,ABQ,LAS,487,40,8,WN_ABQ_LAS,WN_ABQ,1
c-4,c-3,1165,WN,TPA,BDL,1111,25,19,WN_TPA_BDL,WN_TPA,0
c-8,c-2,1073,OO,DEN,BUR,850,53,17,OO_DEN_BUR,OO_DEN,1
c-1,c-1,1198,UA,AUS,DEN,775,58,19,UA_AUS_DEN,UA_AUS,1
c-12,c-5,677,WN,MHT,MCO,1142,17,11,WN_MHT_MCO,WN_MHT,0
c-6,c-4,1215,WN,PHX,ELP,347,15,20,WN_PHX_ELP,WN_PHX,0
c-11,c-3,392,US,BDL,PHX,2213,32,6,US_BDL_PHX,US_BDL,0
c-5,c-1,475,WN,PHX,ABQ,328,55,7,WN_PHX_ABQ,WN_PHX,0
c-2,c-2,1117,UA,ORD,PIT,412,37,18,UA_ORD_PIT,UA_ORD,0
c-9,c-5,852,US,RDU,CLT,130,12,14,US_RDU_CLT,US_RDU,0
c-1,c-1,49,AA,LAS,DFW,1055,49,0,AA_LAS_DFW,AA_LAS,0
c-4,c-3,1168,AA,ORD,BNA,409,28,19,AA_ORD_BNA,AA_ORD,0
c-8,c-4,967,AA,TPA,STL,869,7,16,AA_TPA_STL,AA_TPA,1
c-8,c-2,1190,AA,STL,LGA,887,50,19,AA_STL_LGA,AA_STL,0
c-3,c-1,795,WN,DAL,SAT,248,15,13,WN_DAL_SAT,WN_DAL,0
c-3,c-4,993,AA,ICT,DFW,328,33,16,AA_ICT_DFW,AA_ICT,0
c-7,c-7,405,OO,SBA,SFO,262,45,6,OO_SBA_SFO,OO_SBA,0
c-9,c-4,747,MQ,SNA,SJC,342,27,12,MQ_SNA_SJC,MQ_SNA,0
c-6,c-5,481,MQ,LAX,SJC,308,1,8,MQ_LAX_SJC,MQ_LAX,0
c-7,c-4,787,NW,FSD,MSP,197,7,13,NW_FSD_MSP,NW_FSD,0
c-6,c-6,750,AS,LAX,DCA,2311,30,12,AS_LAX_DCA,AS_LAX,0
c-11,c-1,1049,DL,BWI,SLC,1864,29,17,DL_BWI_SLC,DL_BWI,0
c-10,c-6,526,UA,DEN,LAX,862,46,8,UA_DEN_LAX,UA_DEN,0
c-2,c-4,637,UA,SAN,SFO,447,37,10,UA_SAN_SFO,UA_SAN,0
c-12,c-1,1012,WN,RSW,MCO,133,52,16,WN_RSW_MCO,WN_RSW,0
c-11,c-7,715,WN,BNA,DTW,457,55,11,WN_BNA_DTW,WN_BNA,0
c-11,c-6,636,XE,ORF,EWR,284,36,10,XE_ORF_EWR,XE_ORF,0
c-1,c-3,816,DL,ATL,LGA,761,36,13,DL_ATL_LGA,DL_ATL,0
c-2,c-6,360,OH,ERI,CVG,316,0,6,OH_ERI_CVG,OH_ERI,0
c-1,c-3,520,MQ,ORD,XNA,522,40,8,MQ_ORD_XNA,MQ_ORD,0
c-6,c-3,1142,OO,SLC,FAT,501,2,19,OO_SLC_FAT,OO_SLC,0
c-11,c-6,750,FL,BWI,ATL,576,30,12,FL_BWI_ATL,FL_BWI,0
c-6,c-7,612,MQ,ORD,MKE,67,12,10,MQ_ORD_MKE,MQ_ORD,1
c-7,c-5,549,B6,JFK,SEA,2421,9,9,B6_JFK_SEA,B6_JFK,0
c-3,c-5,688,XE,CLE,MDT,280,28,11,XE_CLE_MDT,XE_CLE,0
c-1,c-7,735,US,ATL,PHL,665,15,12,US_ATL_PHL,US_ATL,0
c-9,c-6,853,UA,ORD,ROC,528,13,14,UA_ORD_ROC,UA_ORD,1
c-11,c-6,1065,XE,CMH,IAH,986,45,17,XE_CMH_IAH,XE_CMH,0
c-10,c-5,1154,DL,ATL,RIC,481,14,19,DL_ATL_RIC,DL_ATL,1
c-9,c-1,450,AA,IAD,SJU,1571,30,7,AA_IAD_SJU,AA_IAD,1
c-3,c-5,666,OO,AUS,DEN,775,6,11,OO_AUS_DEN,OO_AUS,0
c-9,c-5,1098,MQ,CVG,DFW,812,18,18,MQ_CVG_DFW,MQ_CVG,0
c-6,c-1,7,US,LAS,MIA,2175,7,0,US_LAS_MIA,US_LAS,0
c-8,c-2,420,US,MHT,PHL,290,0,7,US_MHT_PHL,US_MHT,0
c-10,c-5,770,B6,JFK,LGB,2465,50,12,B6_JFK_LGB,B6_JFK,0
c-3,c-1,590,WN,BWI,BNA,588,50,9,WN_BWI_BNA,WN_BWI,0
c-7,c-7,866,US,RNO,LAS,345,26,14,US_RNO_LAS,US_RNO,1
c-4,c-2,1090,DL,ATL,DEN,1199,10,18,DL_ATL_DEN,DL_ATL,0
c-8,c-3,838,OO,MEM,DEN,872,58,13,OO_MEM_DEN,OO_MEM,0
c-9,c-5,605,WN,RNO,SLC,422,5,10,WN_RNO_SLC,WN_RNO,0
c-2,c-7,1042,FL,MCO,MKE,1066,22,17,FL_MCO_MKE,FL_MCO,0
c-3,c-7,590,AA,MIA,DFW,1121,50,9,AA_MIA_DFW,AA_MIA,0
c-8,c-6,442,NW,MSP,RDU,981,22,7,NW_MSP_RDU,NW_MSP,0
c-9,c-6,920,US,STL,CLT,575,20,15,US_STL_CLT,US_STL,0
c-7,c-5,675,WN,MDW,STL,251,15,11,WN_MDW_STL,WN_MDW,0
c-4,c-7,760,US,CLT,BWI,361,40,12,US_CLT_BWI,US_CLT,0
c-8,c-7,1200,WN,HOU,DAL,239,0,20,WN_HOU_DAL,WN_HOU,0
c-6,c-2,570,YV,HNL,LIH,102,30,9,YV_HNL_LIH,YV_HNL,0
c-7,c-5,887,AA,STL,SEA,1710,47,14,AA_STL_SEA,AA_STL,1
c-10,c-1,801,DL,ATL,LIT,453,21,13,DL_ATL_LIT,DL_ATL,0
c-3,c-2,1216,DL,BNA,ATL,214,16,20,DL_BNA_ATL,DL_BNA,0
c-3,c-6,1025,WN,MDW,JAN,666,5,17,WN_MDW_JAN,WN_MDW,0
c-12,c-7,552,UA,SNA,DEN,846,12,9,UA_SNA_DEN,UA_SNA,0
c-2,c-3,837,EV,ATL,BQK,238,57,13,EV_ATL_BQK,EV_ATL,0
c-4,c-1,812,US,PIT,BOS,496,32,13,US_PIT_BOS,US_PIT,0
c-1,c-7,348,MQ,CLL,DFW,164,48,5,MQ_CLL_DFW,MQ_CLL,0
c-4,c-4,735,MQ,ORD,ALB,723,15,12,MQ_ORD_ALB,MQ_ORD,0
c-5,c-7,450,OO,AVP,ORD,631,30,7,OO_AVP_ORD,OO_AVP,0
c-1,c-1,878,FL,RDU,ATL,356,38,14,FL_RDU_ATL,FL_RDU,0
c-4,c-3,843,XE,SDF,IAH,788,3,14,XE_SDF_IAH,XE_SDF,0
c-2,c-1,375,WN,CLE,BWI,314,15,6,WN_CLE_BWI,WN_CLE,0
c-6,c-3,671,NW,MSP,LSE,120,11,11,NW_MSP_LSE,NW_MSP,0
c-8,c-4,440,HA,LIH,HNL,102,20,7,HA_LIH_HNL,HA_LIH,0
c-5,c-1,678,XE,DFW,IAH,224,18,11,XE_DFW_IAH,XE_DFW,0
c-9,c-4,910,US,PIT,BOS,496,10,15,US_PIT_BOS,US_PIT,1
c-1,c-5,1066,MQ,BMI,ORD,116,46,17,MQ_BMI_ORD,MQ_BMI,0
c-12,c-5,420,OH,GSO,CVG,330,0,7,OH_GSO_CVG,OH_GSO,0
c-8,c-4,1090,WN,LAX,ELP,714,10,18,WN_LAX_ELP,WN_LAX,1
c-4,c-5,1244,US,EWR,LAS,2227,44,20,US_EWR_LAS,US_EWR,1
c-7,c-7,1020,AA,CLT,DFW,936,0,17,AA_CLT_DFW,AA_CLT,0
c-12,c-1,374,NW,BWI,DTW,408,14,6,NW_BWI_DTW,NW_BWI,0
c-2,c-3,694,AA,DCA,ORD,612,34,11,AA_DCA_ORD,AA_DCA,0
c-9,c-5,958,MQ,SDF,ORD,286,58,15,MQ_SDF_ORD,MQ_SDF,0
c-11,c-1,610,WN,MDW,MCI,405,10,10,WN_MDW_MCI,WN_MDW,1
c-2,c-5,1279,MQ,DFW,CRP,354,19,21,MQ_DFW_CRP,MQ_DFW,0
c-10,c-6,434,AA,DCA,MIA,920,14,7,AA_DCA_MIA,AA_DCA,1
c-8,c-6,527,DH,IAD,PBI,859,47,8,DH_IAD_PBI,DH_IAD,1
c-6,c-3,798,XE,TUL,IAH,429,18,13,XE_TUL_IAH,XE_TUL,0
c-10,c-1,781,OO,SLC,SGU,269,1,13,OO_SLC_SGU,OO_SLC,1
c-3,c-1,596,DL,BOS,TPA,1185,56,9,DL_BOS_TPA,DL_BOS,0
c-3,c-2,626,OH,CVG,DTW,229,26,10,OH_CVG_DTW,OH_CVG,0
c-8,c-3,384,WN,MAF,HOU,441,24,6,WN_MAF_HOU,WN_MAF,0
c-4,c-2,1161,DL,FLL,BOS,1237,21,19,DL_FLL_BOS,DL_FLL,0
c-3,c-3,681,AS,PDX,OAK,543,21,11,AS_PDX_OAK,AS_PDX,0
c-1,c-2,1160,YV,DEN,GJT,212,20,19,YV_DEN_GJT,YV_DEN,1
c-3,c-5,465,WN,SAN,OAK,446,45,7,WN_SAN_OAK,WN_SAN,0
c-10,c-3,480,WN,LAX,OAK,337,0,8,WN_LAX_OAK,WN_LAX,0
c-5,c-3,745,EV,ATL,CHS,259,25,12,EV_ATL_CHS,EV_ATL,0
c-11,c-6,1339,DL,SAN,ATL,1891,19,22,DL_SAN_ATL,DL_SAN,0
c-9,c-4,900,WN,CLE,STL,487,0,15,WN_CLE_STL,WN_CLE,0
c-3,c-3,1102,OO,SFO,SLC,599,22,18,OO_SFO_SLC,OO_SFO,0
c-10,c-5,466,B6,MCO,JFK,944,46,7,B6_MCO_JFK,B6_MCO,0
c-11,c-3,775,US,LGA,DCA,214,55,12,US_LGA_DCA,US_LGA,0
c-12,c-5,584,WN,TPA,RDU,587,44,9,WN_TPA_RDU,WN_TPA,0
c-5,c-1,550,XE,IAH,ELP,667,10,9,XE_IAH_ELP,XE_IAH,0
c-4,c-3,411,AA,ELP,DFW,551,51,6,AA_ELP_DFW,AA_ELP,0
c-4,c-4,1365,US,LAS,CLE,1825,45,22,US_LAS_CLE,US_LAS,0
c-5,c-2,377,YV,HDN,DEN,142,17,6,YV_HDN_DEN,YV_HDN,0
c-11,c-2,1056,AA,JAX,DFW,919,36,17,AA_JAX_DFW,AA_JAX,1
c-8,c-1,736,MQ,TUL,DFW,237,16,12,MQ_TUL_DFW,MQ_TUL,0
c-6,c-4,581,CO,CLE,IAH,1091,41,9,CO_CLE_IAH,CO_CLE,1
c-6,c-5,1188,FL,LGA,CAK,396,48,19,FL_LGA_CAK,FL_LGA,1
c-1,c-4,1076,DL,ATL,IAD,533,56,17,DL_ATL_IAD,DL_ATL,0
c-8,c-3,906,FL,MCO,ATL,403,6,15,FL_MCO_ATL,FL_MCO,1
c-11,c-2,925,AA,SEA,ORD,1721,25,15,AA_SEA_ORD,AA_SEA,0
c-7,c-1,819,WN,DAL,LBB,293,39,13,WN_DAL_LBB,WN_DAL,1
c-10,c-3,575,WN,LAS,BUR,223,35,9,WN_LAS_BUR,WN_LAS,0
c-8,c-6,423,XE,PHL,EWR,81,3,7,XE_PHL_EWR,XE_PHL,0
c-1,c-1,505,DL,FLL,JFK,1069,25,8,DL_FLL_JFK,DL_FLL,0
c-5,c-5,773,CO,SAT,IAH,191,53,12,CO_SAT_IAH,CO_SAT,0
c-9,c-3,774,MQ,GSO,DFW,999,54,12,MQ_GSO_DFW,MQ_GSO,0
c-6,c-5,414,AA,DFW,MCI,460,54,6,AA_DFW_MCI,AA_DFW,0
c-4,c-4,843,B6,LAS,LGB,231,3,14,B6_LAS_LGB,B6_LAS,0
c-12,c-6,445,WN,LIT,STL,296,25,7,WN_LIT_STL,WN_LIT,0
c-10,c-2,987,OO,LAX,SAN,109,27,16,OO_LAX_SAN,OO_LAX,0
c-2,c-2,463,WN,STL,MCO,880,43,7,WN_STL_MCO,WN_STL,0
c-12,c-7,1006,DL,JFK,FLL,1069,46,16,DL_JFK_FLL,DL_JFK,0
c-9,c-4,531,CO,IAH,EWR,1400,51,8,CO_IAH_EWR,CO_IAH,0
c-7,c-5,1069,US,CLT,LAX,2125,49,17,US_CLT_LAX,US_CLT,0
c-12,c-1,493,DL,SAN,ATL,1891,13,8,DL_SAN_ATL,DL_SAN,0
c-4,c-7,516,UA,DEN,LAS,629,36,8,UA_DEN_LAS,UA_DEN,0
c-1,c-2,725,OO,LAX,FAT,209,5,12,OO_LAX_FAT,OO_LAX,1
c-4,c-7,741,US,PHX,STL,1262,21,12,US_PHX_STL,US_PHX,1
c-5,c-3,1378,UA,LAX,PHL,2401,58,22,UA_LAX_PHL,UA_LAX,1
c-1,c-5,1365,OO,SFO,MOD,78,45,22,OO_SFO_MOD,OO_SFO,0
c-7,c-1,1129,XE,EWR,SDF,642,49,18,XE_EWR_SDF,XE_EWR,0
c-4,c-2,1045,OO,ORD,COS,911,25,17,OO_ORD_COS,OO_ORD,0
c-2,c-5,530,DL,ATL,DEN,1199,50,8,DL_ATL_DEN,DL_ATL,0
c-5,c-3,672,US,DFW,DCA,1192,12,11,US_DFW_DCA,US_DFW,0
c-7,c-3,805,AA,DFW,JFK,1391,25,13,AA_DFW_JFK,AA_DFW,1
c-8,c-6,613,NW,DTW,EWR,487,13,10,NW_DTW_EWR,NW_DTW,0
c-8,c-4,1006,CO,CLE,LGA,418,46,16,CO_CLE_LGA,CO_CLE,1
c-4,c-5,760,WN,TPA,ISP,1034,40,12,WN_TPA_ISP,WN_TPA,0
c-6,c-3,931,MQ,MRY,LAX,267,31,15,MQ_MRY_LAX,MQ_MRY,0
c-7,c-5,923,MQ,BTR,DFW,383,23,15,MQ_BTR_DFW,MQ_BTR,0
c-11,c-6,323,DL,DFW,ATL,732,23,5,DL_DFW_ATL,DL_DFW,0
c-8,c-1,434,NW,LAX,MEM,1619,14,7,NW_LAX_MEM,NW_LAX,0
c-11,c-4,747,NW,LAX,MSP,1536,27,12,NW_LAX_MSP,NW_LAX,1
c-4,c-5,680,OO,SLC,BIL,387,20,11,OO_SLC_BIL,OO_SLC,0
c-11,c-6,589,OO,CEC,SFO,304,49,9,OO_CEC_SFO,OO_CEC,0
c-10,c-2,785,WN,SJC,RNO,188,5,13,WN_SJC_RNO,WN_SJC,1
c-11,c-1,1153,FL,FLL,BWI,925,13,19,FL_FLL_BWI,FL_FLL,0
c-5,c-7,432,CO,EWR,TPA,998,12,7,CO_EWR_TPA,CO_EWR,0
c-4,c-2,1107,UA,DEN,PHL,1557,27,18,UA_DEN_PHL,UA_DEN,0
c-2,c-1,890,OO,AUS,ORD,978,50,14,OO_AUS_ORD,OO_AUS,1
c-5,c-1,810,WN,MDW,PIT,402,30,13,WN_MDW_PIT,WN_MDW,0
c-3,c-7,521,EV,ATL,ICT,781,41,8,EV_ATL_ICT,EV_ATL,1
c-10,c-3,1095,TZ,PHX,HNL,2917,15,18,TZ_PHX_HNL,TZ_PHX,0
c-11,c-5,1157,CO,SAT,IAH,191,17,19,CO_SAT_IAH,CO_SAT,0
c-11,c-6,831,OH,CAE,CVG,404,51,13,OH_CAE_CVG,OH_CAE,1
c-11,c-3,629,AA,LAX,DFW,1235,29,10,AA_LAX_DFW,AA_LAX,0
c-12,c-3,1156,AA,DFW,AUS,190,16,19,AA_DFW_AUS,AA_DFW,1
c-8,c-4,418,MQ,LGA,CLT,544,58,6,MQ_LGA_CLT,MQ_LGA,0
c-5,c-1,1179,DL,RSW,JFK,1074,39,19,DL_RSW_JFK,DL_RSW,0
c-5,c-1,839,EV,LAS,SLC,368,59,13,EV_LAS_SLC,EV_LAS,0
c-10,c-6,857,CO,IAH,LAX,1379,17,14,CO_IAH_LAX,CO_IAH,1
c-9,c-2,410,F9,DEN,LAS,629,50,6,F9_DEN_LAS,F9_DEN,0
c-7,c-6,1261,DL,TPA,ATL,406,1,21,DL_TPA_ATL,DL_TPA,0
c-10,c-2,466,DL,IAD,SLC,1827,46,7,DL_IAD_SLC,DL_IAD,0
c-1,c-1,1004,TZ,IND,MCO,828,44,16,TZ_IND_MCO,TZ_IND,0
c-3,c-3,669,OH,CVG,PBI,892,9,11,OH_CVG_PBI,OH_CVG,0
c-7,c-4,688,AS,YAK,CDV,213,28,11,AS_YAK_CDV,AS_YAK,0
c-9,c-5,766,OH,CVG,EVV,170,46,12,OH_CVG_EVV,OH_CVG,0
c-10,c-7,1130,OH,JFK,DTW,508,50,18,OH_JFK_DTW,OH_JFK,1
c-7,c-6,777,HA,HNL,LAX,2556,57,12,HA_HNL_LAX,HA_HNL,0
c-12,c-5,659,WN,HOU,PHX,1020,59,10,WN_HOU_PHX,WN_HOU,1
c-12,c-1,1017,UA,ORD,MSP,334,57,16,UA_ORD_MSP,UA_ORD,0
c-1,c-2,920,US,PHL,LAS,2176,20,15,US_PHL_LAS,US_PHL,0
c-1,c-1,1056,NW,IAD,MSP,908,36,17,NW_IAD_MSP,NW_IAD,0
c-6,c-6,398,AA,SEA,STL,1710,38,6,AA_SEA_STL,AA_SEA,0
c-11,c-3,1046,AA,BNA,LAX,1797,26,17,AA_BNA_LAX,AA_BNA,0
c-8,c-3,1092,EV,GPT,ATL,352,12,18,EV_GPT_ATL,EV_GPT,1
c-1,c-3,990,OO,DEN,SAT,794,30,16,OO_DEN_SAT,OO_DEN,1
c-1,c-3,1150,DL,ATL,SDF,321,10,19,DL_ATL_SDF,DL_ATL,0
c-6,c-6,575,WN,HOU,STL,687,35,9,WN_HOU_STL,WN_HOU,0
c-7,c-6,806,DL,ATL,SRQ,445,26,13,DL_ATL_SRQ,DL_ATL,1
c-9,c-5,885,WN,SAN,PHX,304,45,14,WN_SAN_PHX,WN_SAN,1
c-10,c-6,360,AS,GEG,SEA,224,0,6,AS_GEG_SEA,AS_GEG,0
c-1,c-1,585,MQ,ORD,CLE,316,45,9,MQ_ORD_CLE,MQ_ORD,0
c-5,c-7,891,NW,MEM,IND,381,51,14,NW_MEM_IND,NW_MEM,0
c-6,c-7,440,WN,PHL,RDU,336,20,7,WN_PHL_RDU,WN_PHL,0
c-7,c-7,1143,NW,MSP,IAH,1034,3,19,NW_MSP_IAH,NW_MSP,0
c-12,c-5,411,CO,MSY,IAH,305,51,6,CO_MSY_IAH,CO_MSY,0
c-6,c-6,861,AA,RIC,DFW,1158,21,14,AA_RIC_DFW,AA_RIC,0
c-2,c-2,1253,DL,SLC,LAS,368,53,20,DL_SLC_LAS,DL_SLC,0
c-1,c-1,837,NW,HDN,MSP,774,57,13,NW_HDN_MSP,NW_HDN,0
c-3,c-5,1032,OO,SFO,BOI,522,12,17,OO_SFO_BOI,OO_SFO,1
c-10,c-6,1265,US,PHL,ORF,211,5,21,US_PHL_ORF,US_PHL,1
c-4,c-6,381,AA,DTW,DFW,987,21,6,AA_DTW_DFW,AA_DTW,0
c-2,c-5,1281,XE,IAH,SHV,192,21,21,XE_IAH_SHV,XE_IAH,1
c-7,c-1,787,WN,TPA,ISP,1034,7,13,WN_TPA_ISP,WN_TPA,1
c-12,c-5,596,MQ,ORD,BNA,409,56,9,MQ_ORD_BNA,MQ_ORD,0
c-9,c-1,1145,WN,PHX,LAS,256,5,19,WN_PHX_LAS,WN_PHX,0
c-9,c-4,1105,B6,EWR,FLL,1065,25,18,B6_EWR_FLL,B6_EWR,1
c-12,c-2,1170,WN,LAS,LBB,775,30,19,WN_LAS_LBB,WN_LAS,0
c-9,c-6,1167,WN,TPA,BWI,842,27,19,WN_TPA_BWI,WN_TPA,0
c-11,c-2,1075,OH,CVG,SDF,83,55,17,OH_CVG_SDF,OH_CVG,1
c-10,c-5,1105,EV,ATL,AVL,164,25,18,EV_ATL_AVL,EV_ATL,1
c-9,c-3,1034,US,FLL,LGA,1076,14,17,US_FLL_LGA,US_FLL,0
c-7,c-2,420,EV,ATL,PHF,508,0,7,EV_ATL_PHF,EV_ATL,0
c-2,c-4,616,CO,PHX,EWR,2133,16,10,CO_PHX_EWR,CO_PHX,0
c-6,c-2,821,XE,IAH,GRR,1042,41,13,XE_IAH_GRR,XE_IAH,1
c-1,c-6,449,MQ,CVG,ORD,264,29,7,MQ_CVG_ORD,MQ_CVG,0
c-12,c-6,1044,DL,ATL,STL,483,24,17,DL_ATL_STL,DL_ATL,0
c-8,c-1,718,DL,ATL,SJU,1547,58,11,DL_ATL_SJU,DL_ATL,1
c-11,c-1,1277,AS,OME,ANC,539,17,21,AS_OME_ANC,AS_OME,0
c-2,c-2,805,DL,BDL,CVG,661,25,13,DL_BDL_CVG,DL_BDL,0
c-3,c-4,632,UA,DEN,FLL,1703,32,10,UA_DEN_FLL,UA_DEN,0
c-5,c-4,1029,DH,SDF,IAD,451,9,17,DH_SDF_IAD,DH_SDF,0
c-11,c-6,1085,AA,SDF,DFW,733,5,18,AA_SDF_DFW,AA_SDF,0
c-8,c-7,613,DL,JFK,SFO,2586,13,10,DL_JFK_SFO,DL_JFK,0
c-9,c-4,442,OO,RDD,SFO,199,22,7,OO_RDD_SFO,OO_RDD,0
c-10,c-4,784,AA,DFW,ORD,802,4,13,AA_DFW_ORD,AA_DFW,0
c-6,c-3,1285,WN,ELP,PHX,347,25,21,WN_ELP_PHX,WN_ELP,1
c-4,c-4,385,WN,LAX,SJC,308,25,6,WN_LAX_SJC,WN_LAX,0
c-7,c-4,725,UA,LAX,JFK,2475,5,12,UA_LAX_JFK,UA_LAX,1
c-10,c-1,373,MQ,PNS,DFW,604,13,6,MQ_PNS_DFW,MQ_PNS,0
c-11,c-2,504,NW,LSE,MSP,120,24,8,NW_LSE_MSP,NW_LSE,0
c-10,c-7,445,WN,BWI,ORF,159,25,7,WN_BWI_ORF,WN_BWI,0
c-7,c-4,478,AA,ELP,ORD,1236,58,7,AA_ELP_ORD,AA_ELP,0
c-3,c-3,1240,OH,JFK,TLH,922,40,20,OH_JFK_TLH,OH_JFK,1
c-11,c-3,378,MQ,TOL,ORD,214,18,6,MQ_TOL_ORD,MQ_TOL,0
c-5,c-4,1354,DL,ATL,HSV,151,34,22,DL_ATL_HSV,DL_ATL,0
c-10,c-1,761,AS,SEA,ORD,1721,41,12,AS_SEA_ORD,AS_SEA,0
c-7,c-5,445,DL,PHL,ATL,665,25,7,DL_PHL_ATL,DL_PHL,0
c-10,c-3,501,OO,ORD,TVC,224,21,8,OO_ORD_TVC,OO_ORD,0
c-5,c-5,1020,OO,COS,SLC,410,0,17,OO_COS_SLC,OO_COS,1
